#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
183315,-1450165.8117689993,277253.7771692728,-1172912.0345997266,298.9878437959431,1091.6283151225412,60.5
186648,-1451613.3633517902,274957.8078652774,-1176655.5554865128,296.511892273724,1089.3741366249094,60.5
189981,-1453238.5223434214,277052.4813104736,-1176186.0410329478,298.7707682509247,1087.7834306972613,60.4
193314,-1453369.2191271046,276157.1187918683,-1177212.1003352362,297.8052178025712,1087.2328216906296,60.4
196647,-1449762.92647524,276476.73148704943,-1173286.1949881904,298.14988510181473,1088.9912014737588,60.4
199980,-1450675.4055290464,278593.41295507486,-1172081.9925739716,300.4324943221081,1087.9498817715107,60.4
203313,-1452855.13036599,275774.8258794583,-1177080.3044865318,297.3929567515335,1088.289131873878,60.4
206646,-1451123.7826412246,276237.6496783365,-1174886.132962888,297.8920615467752,1090.134000291788,60.4
209979,-1451675.4810682517,275042.229472994,-1176633.2515952578,296.60293173482233,1089.4312735381727,60.4
213312,-1450552.64650743,276805.09049383627,-1173747.5560135937,298.50398434054296,1090.1543748461283,60.4
216645,-1450825.4585848395,277718.31850940775,-1173107.1400754317,299.4888007713866,1087.5694467653718,60.4
219978,-1453659.60189078,276590.8943569616,-1177068.7075338184,298.2729972579956,1086.5064233615924,60.4
223311,-1450668.0119121084,276096.66333898297,-1174571.3485731254,297.7400232155453,1088.381386254161,60.4
226644,-1451196.125934749,276035.4879106968,-1175160.6380240521,297.6740522138756,1090.5317556645934,60.4
229977,-1450155.8947249874,276410.37515725504,-1173745.5195677325,298.07832706509475,1089.518921300728,60.5
233310,-1450933.0098731043,276489.91041857586,-1174443.0994545284,298.1640971365825,1091.9738779338325,60.5
236643,-1452123.5865579387,275794.09781963995,-1176329.4887382989,297.4137394290484,1088.8926275471624,60.5
239976,-1450710.0748108197,276580.6351013582,-1174129.4397094615,298.2619337740527,1087.626616565761,60.5
243309,-1449915.207611573,275309.6794065953,-1174605.5282049775,296.89134720669523,1088.6506220420838,60.5
246642,-1450785.0453023408,275491.48279055866,-1175293.5625117822,297.08740225171925,1088.9734550256007,60.5
249975,-1450877.17793921,275808.0670135836,-1175069.1109256265,297.428803675312,1089.2524066406602,60.5
253308,-1450388.6418460933,277637.93288191047,-1172750.708964183,299.40211367307916,1089.3325160455179,60.5
256641,-1450252.606933252,277383.4725735005,-1172869.1343597514,299.1277060898176,1088.9642508735806,60.5
