#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
333300,-920933.4706845088,181311.82022907995,-739621.6504554289,298.79900544706294,702.4991748004911,91.6
336633,-920095.7303891629,181089.1881629529,-739006.54222621,298.43211133141546,703.0219040971823,91.6
339966,-922417.3207624536,181635.93012159236,-740781.3906408612,299.33313341189114,703.4290806103792,91.6
343299,-919813.0641093412,181491.80520866805,-738321.2589006731,299.09561784016773,702.7655332470483,91.6
346632,-920547.2077927385,181308.0290120339,-739239.1787807045,298.79275758147224,703.3048986023766,91.6
349965,-921072.5832418278,181354.40058156603,-739718.1826602618,298.86917719294445,700.707471231311,91.6
353298,-923046.3616071008,180649.2251616004,-742397.1364455004,297.7070592798088,700.9467582082266,91.6
356631,-920372.2962231236,180774.60627390182,-739597.6899492217,297.9136853652464,703.2225440166761,91.6
359964,-922265.7784513887,181230.5886173579,-741035.1898340308,298.6651370386892,701.6193842335365,91.6
363297,-920653.6431949884,181694.2651509774,-738959.378044011,299.42926861554724,702.195909820028,91.6
366630,-920427.2506008567,179694.26802302187,-740732.9825778349,296.1333050541255,701.1360377641226,91.6
369963,-921227.69997524,179832.47059493727,-741395.2293803028,296.3610607017517,702.2926492699215,91.6
373296,-920531.4480117084,181173.48868082731,-739357.9593308811,298.5710372484777,703.1663222212349,91.6
376629,-922202.8298780387,180548.84305945947,-741653.9868185793,297.54163116681264,701.7515479208712,91.6
379962,-920574.6434538662,181564.51231173624,-739010.13114213,299.21543799341674,703.2439231950482,91.6
383295,-920861.6342394995,180969.9194313779,-739891.7148081216,298.23555835251693,702.7207952931789,91.6
386628,-921131.4404925415,180311.43990005518,-740820.0005924864,297.1503945236066,701.0748494202568,91.6
389961,-921560.3537293142,182341.24842480547,-739219.1053045087,300.4954867943536,700.7046246952702,91.6
393294,-922694.3251897311,179287.51945333625,-743406.8057363948,295.4629898593659,701.6128735182864,91.6
396627,-921803.0746459533,180529.30576889293,-741273.7688770604,297.50943402167866,700.2573972542547,91.6
399960,-921982.5000548186,180438.2579654015,-741544.2420894171,297.3593886848827,701.5885156432536,91.6
403293,-922369.6260173228,181384.36256428453,-740985.2634530382,298.9185540654848,699.52253842818,91.6
406626,-922543.7396011967,180283.98239420727,-742259.7572069895,297.1051449892462,699.7145699394222,91.6
409959,-923111.0985516822,180751.3857775351,-742359.712774147,297.87541835534273,699.9073492083668,91.6
413292,-920360.0693799043,181338.38049896283,-739021.6888809415,298.84277635077666,701.7878515557879,91.6
416625,-922097.436670661,181340.75050420998,-740756.686166451,298.84668208185286,701.1101544003508,91.6
419958,-920580.9447780102,180329.2411020482,-740251.703675962,297.17973062229316,702.2933746488214,91.6
423291,-920845.1355296122,181102.05824928294,-739743.0772803293,298.4533210296611,701.2911905431946,91.6
426624,-922256.4577531563,180959.211813264,-741297.2459398923,298.2179123676104,701.7685670651022,91.6
