#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
233310,-913880.0134748071,179731.54069409904,-734148.4727807081,297.77784064326477,700.9792000905153,97.8
236643,-914585.3440809362,180356.32237069515,-734229.021710241,298.8129741418805,698.7621598102488,97.7
239976,-913976.5454419861,179519.76157438086,-734456.7838676053,297.4269666190425,699.2229692611668,97.7
243309,-914856.5550428554,178616.6777232993,-736239.8773195562,295.93074420834967,697.8613414468654,97.7
246642,-915901.1174526522,180105.67181318492,-735795.4456394673,298.3976982171141,696.8446079388483,97.7
249975,-916328.7060989765,179172.91456974315,-737155.7915292333,296.8523131571307,697.4576173951714,97.7
253308,-914852.5827744072,180476.77216803806,-734375.8106063692,299.0125344439854,698.6939425264305,97.7
256641,-915428.0208758106,179886.82717949146,-735541.1936963191,298.03511810342934,697.76167947545,97.7
259974,-915475.3350184271,180296.6064246874,-735178.7285937397,298.71403721970484,695.2215348014045,97.7
263307,-914759.634458241,180172.52498892008,-734587.109469321,298.50846004686133,695.2838049170322,97.6
266640,-915881.1380995875,180359.70909502858,-735521.429004559,298.8185852408282,698.2328978545866,97.6
269973,-916196.6498702932,179288.58659272158,-736908.0632775717,297.043957679246,695.0398781532946,97.7
273306,-917319.9081848608,181190.22868197202,-736129.6795028888,300.19458373423055,697.6033959460159,97.6
276639,-915353.6936495388,180947.21806745464,-734406.4755820842,299.79196560852523,695.6559231537237,97.6
279972,-916049.9717344809,179539.37400149443,-736510.5977329866,297.4594603381366,698.3955192938118,97.6
283305,-916465.9232186433,179298.34193073877,-737167.5812879045,297.0601202485885,697.2188752729983,97.6
286638,-915656.4419684634,180216.57448363942,-735439.8674848239,298.5814409124806,699.3073383817589,97.6
289971,-914228.6343818232,179071.5830456699,-735157.0513361534,296.6844278638144,697.8154856343816,97.6
293304,-916059.2505501388,181120.81514107925,-734938.4354090595,300.0795799110917,696.8261292243825,97.6
296637,-915163.6989105325,179566.15095836014,-735597.5479521723,297.50382419527415,698.0153989156667,97.6
299970,-916080.4092365261,179471.98953024304,-736608.4197062831,297.34781826204556,698.4042352621766,97.6
303303,-914843.3572813245,180345.42086123058,-734497.9364200939,298.7949126044587,697.8192587695878,97.6
306636,-916084.4540402358,178652.1108859314,-737432.3431543044,295.98944960093127,697.3536062461397,97.6
309969,-916834.7664255267,180096.33312998002,-736738.4332955467,298.3822259582748,696.3383539881241,97.6
313302,-916529.7778189108,180071.53316369146,-736458.2446552194,298.3411375639901,697.2390847929231,97.6
316635,-917118.2187693762,179344.9259868759,-737773.2927825003,297.1373003561609,697.9429866863949,97.6
319968,-914690.8894562013,179545.3459479168,-735145.5435082845,297.46935461324944,696.6333576043513,97.6
323301,-915387.0987174166,178697.77264268842,-736689.3260747283,296.06510164995154,697.6812501353359,97.5
326634,-916480.1896149376,180152.27049342263,-736327.919121515,298.4749025537844,697.5990227250437,97.5
329967,-915816.1142649474,179542.42789696157,-736273.6863679858,297.46452000876667,696.8450505189061,97.6
333300,-917380.0961704431,179737.18127131817,-737642.914899125,297.7871859084186,698.2387425486227,97.5
336633,-913616.3319157362,180198.36718663474,-733417.9647291014,298.5512752021937,698.0316974376876,97.6
339966,-917376.4644161239,180255.61436288874,-737120.8500532352,298.64612188554156,696.8311458273358,97.6
343299,-914599.5562195005,180484.10455057258,-734115.4516689279,299.0246826792337,698.1049414713841,97.5
346632,-916144.9247994544,180645.7555995806,-735499.1691998738,299.2925048996711,698.8206984126815,97.5
349965,-914775.8143628063,180672.5475941084,-734103.2667686979,299.33689367109207,697.2340053432537,97.5
353298,-916108.9576675724,180406.81507916472,-735702.1425884077,298.89663007471364,696.9709450546395,97.5
356631,-916565.2549807997,178932.8360229751,-737632.4189578246,296.45455285882537,696.4092668631985,97.5
359964,-913411.1307508452,179889.6335448341,-733521.4972060111,298.0397676680442,696.2531955941121,97.5
363297,-917051.7409095298,178776.1629888764,-738275.5779206534,296.1949781753794,699.4753140298913,97.5
366630,-915020.2934445301,180919.89227404096,-734100.4011704891,299.74669244319676,697.723738529219,97.5
369963,-914011.9214620963,179316.10483841586,-734695.8166236804,297.0895496980396,699.3102056492903,97.5
373296,-913098.2012517983,179721.62891120784,-733376.5723405904,297.7614188772527,696.6941661626108,97.5
376629,-914357.2930200435,180418.1608537772,-733939.1321662663,298.9154276672312,696.8896549509446,97.5
379962,-915516.9245926226,179238.00195878907,-736278.9226338335,296.9601494450096,697.6011129422217,97.5
383295,-915800.3773165196,180391.76317436027,-735408.6141421593,298.8716921940671,698.6179449545878,97.5
386628,-915595.0284812395,181250.20921438278,-734344.8192668566,300.29395902113305,697.7954237154302,97.5
389961,-916753.3538294872,179961.5586754514,-736791.7951540358,298.15893267381057,697.9938183577094,97.5
393294,-914826.092084527,179658.65318834697,-735167.43889618,297.6570811817429,698.0302807952233,97.5
396627,-914688.8871402936,180102.8247193113,-734586.0624209823,298.39298117378087,697.9543559782155,97.5
399960,-915216.9597395947,179550.9535509663,-735666.0061886284,297.4786452470515,697.1790543445393,97.5
403293,-917193.9645446818,180405.97830361297,-736787.9862410689,298.8952437113856,698.2919435966755,97.5
406626,-917292.6202049609,180344.755404388,-736947.8648005729,298.79381008065656,696.5666574787533,97.5
409959,-914993.2309741182,180417.04568240978,-734576.1852917084,298.91358005984716,697.802037660632,97.5
413292,-914982.5815796182,179778.70562804583,-735203.8759515723,297.8559831447452,696.8148799004556,97.5
416625,-914831.8989240145,179633.7534764323,-735198.1454475822,297.6158275296685,697.7090571320593,97.5
419958,-915353.1678650891,180067.80522733764,-735285.3626377515,298.33496114757924,699.3456663576707,97.5
423291,-915227.6317513036,179478.1241245968,-735749.5076267067,297.35798201100596,699.4206434924299,97.5
426624,-916226.9324513627,180959.068386005,-735267.8640653577,299.8115991255765,698.4009976943528,97.5
429957,-916213.2178332433,179082.123317444,-737131.0945157993,296.7018909053961,696.449086800267,97.5
433290,-914313.3339328608,180509.21201100526,-733804.1219218555,299.06628052746225,697.2660353860456,97.5
436623,-916053.1285232687,180188.57587610732,-735864.5526471614,298.53505303387163,697.0166628951109,97.5
439956,-915289.1169517459,180117.39422044955,-735171.7227312964,298.4171198117264,696.77526457535,97.5
443289,-913569.3365802318,179994.7113588785,-733574.6252213533,298.2138597859041,699.4269615377758,97.5
446622,-914884.3540599793,179095.89832260285,-735788.4557373765,296.72471322848537,698.0634421631344,97.5
449955,-916079.751966713,179721.7508654761,-736358.0011012369,297.76162093015074,698.91465744942,97.5
453288,-915254.0375501234,180544.1573302418,-734709.8802198817,299.12417766484094,697.2724829987862,97.5
456621,-917366.7439139709,178521.7131502647,-738845.0307637062,295.77340763077035,696.0643069167849,97.5
459954,-914092.0843545804,180944.62478778214,-733147.4595667983,299.78766908261736,696.7103894987988,97.5
463287,-916308.741461751,179550.04407853232,-736758.6973832187,297.4771384400855,699.4752367796964,97.5
466620,-914905.5264384719,180220.90700832428,-734684.6194301476,298.5886190062098,696.7878291296339,97.6
469953,-915569.6512798816,180355.64723988937,-735214.0040399922,298.8118555903301,698.4053449118761,97.6
473286,-915892.4859426944,179457.57601873082,-736434.9099239635,297.3239380665182,695.511734739621,97.6
